桟,棧,栈,5,ABC
梅,梅,梅,1,AAA
械,械,械,1,AAA
棄,棄,弃,2,AAB
棋,棋,棋,1,AAA
棒,棒,棒,1,AAA
棚,棚,棚,1,AAA
棟,棟,栋,2,AAB
森,森,森,1,AAA
棺,棺,棺,1,AAA
植,植,植,1,AAA
検,檢,检,5,ABC
業,業,业,2,AAB
極,極,极,2,AAB
楼,樓,楼,3,ABA
楽,樂,乐,5,ABC
概,概,概,1,AAA
構,構,构,2,AAB
様,樣,样,5,ABC
槽,槽,槽,1,AAA
標,標,标,2,AAB
模,模,模,1,AAA
権,權,权,5,ABC
横,横,横,1,AAA
樹,樹,树,2,AAB
橋,橋,桥,2,AAB
機,機,机,2,AAB
欄,欄,栏,5,ABC
欠,欠,欠,1,AAA
次,次,次,1,AAA
欧,歐,欧,3,ABA
欲,欲,欲,1,AAA
欺,欺,欺,1,AAA
款,款,款,1,AAA
歌,歌,歌,1,AAA
歓,歡,欢,5,ABC
止,止,止,1,AAA
正,正,正,1,AAA
武,武,武,1,AAA
歩,歩,歩,1,AAA
歯,齒,齿,5,ABC
歳,歳,歳,1,AAA
歴,歷,历,5,ABC
死,死,死,1,AAA
殉,殉,殉,1,AAA
殊,殊,殊,1,AAA
残,殘,残,5,ABC
殖,殖,殖,1,AAA
殴,毆,殴,3,ABA
段,段,段,1,AAA
殺,殺,杀,2,AAB
殻,殼,壳,5,ABC
殿,殿,殿,1,AAA
母,母,母,1,AAA
毎,毎,毎,1,AAA
毒,毒,毒,1,AAA
比,比,比,1,AAA
毛,毛,毛,1,AAA
氏,氏,氏,1,AAA
民,民,民,1,AAA
気,氣,气,5,ABC
水,水,水,1,AAA
氷,冰,冰,4,ABB
永,永,永,1,AAA
汁,汁,汁,1,AAA
求,求,求,1,AAA
汗,汗,汗,1,AAA
汚,汚,汚,1,AAA
江,江,江,1,AAA
池,池,池,1,AAA
決,決,决,2,AAB
汽,汽,汽,1,AAA
沈,沈,沉,2,AAB
沖,沖,冲,2,AAB
没,没,没,1,AAA
沢,澤,泽,5,ABC
河,河,河,1,AAA
沸,沸,沸,1,AAA
油,油,油,1,AAA
治,治,治,1,AAA
沼,沼,沼,1,AAA
沿,沿,沿,1,AAA
況,況,况,2,AAB
泉,泉,泉,1,AAA
泊,泊,泊,1,AAA
泌,泌,泌,1,AAA
法,法,法,1,AAA
泡,泡,泡,1,AAA
波,波,波,1,AAA
泣,泣,泣,1,AAA
泥,泥,泥,1,AAA
注,注,注,1,AAA
泰,泰,泰,1,AAA
泳,泳,泳,1,AAA
洋,洋,洋,1,AAA
洗,洗,洗,1,AAA
洞,洞,洞,1,AAA
津,津,津,1,AAA
